UF;COD_CINE_ROTULO;SALARIO_MEDIO
AC;0011A01;1148,65
AC;0011A02;2195,072
AC;0011A03;8240,485
AC;0011A04;8137,87995283019
AC;0011A05;12962,9572506739
AC;0011A06;3174,75
AC;0011A08;10288,3663013699
AC;0011A09;18092,5392307692
AC;0011A10;8137,87995283019
AC;0111P02;795,6
AC;0112E01;6920,27699095023
AC;0113E01;8029,74717647059
AC;0113E02;8029,74717647059
AC;0113E03;8029,74717647059
AC;0113F01;8029,74717647059
AC;0113P01;8029,74717647059
AC;0114A01;6422,24261603376
AC;0114A02;14548,725
AC;0114B01;9319,465
AC;0114C01;34467,913125
AC;0114C02;12962,9572506739
AC;0114C05;12298,066875
AC;0114D01;1361,765
AC;0114E01;12558,88
AC;0114E02;8029,74717647059
AC;0114E03;2414,3775
AC;0114E04;8029,74717647059
AC;0114E06;8029,74717647059
AC;0114E07;8029,74717647059
AC;0114E08;11782,7
AC;0114F01;4006,37857142857
AC;0114F02;3378,052
AC;0114G01;3473,91125
AC;0114H01;5910,28
AC;0114M01;3847,48769230769
AC;0114M02;7975,31466666667
AC;0114P01;13273,52
AC;0114Q01;5472,388
AC;0114T01;1779,62
AC;0115L02;2295,9165
AC;0115L03;2295,9165
AC;0115L04;2295,9165
AC;0115L05;2295,9165
AC;0115L06;2295,9165
AC;0115L07;2295,9165
AC;0115L08;2295,9165
AC;0115L09;2295,9165
AC;0115L10;2295,9165
AC;0115L11;2295,9165
AC;0115L12;2295,9165
AC;0115L13;2295,9165
AC;0115L14;2295,9165
AC;0115L15;2295,9165
AC;0115L16;2295,9165
AC;0115L17;2295,9165
AC;0115L18;2295,9165
AC;0115L19;2295,9165
AC;0115L20;2295,9165
AC;0188P01;6920,27699095023
AC;0211A01;1287,97
AC;0211C01;1287,97
AC;0211C02;1287,97
AC;0211D01;1287,97
AC;0211F01;1287,97
AC;0211P01;1287,97
AC;0211P02;1287,97
AC;0211P03;1287,97
AC;0211P04;1287,97
AC;0211P05;1287,97
AC;0212D01;1513,59628571429
AC;0212D03;1104,205
AC;0212D04;1696,89
AC;0213A01;2195,072
AC;0213A02;2195,072
AC;0213A03;2195,072
AC;0213H01;2195,072
AC;0215A01;2195,072
AC;0215D01;2195,072
AC;0215M01;2195,072
AC;0215T01;2195,072
AC;0222H01;5910,28
AC;0231L02;10446,1573076923
AC;0231L03;10446,1573076923
AC;0231L04;10446,1573076923
AC;0231L05;10446,1573076923
AC;0231L06;10446,1573076923
AC;0231L07;10446,1573076923
AC;0231L08;10446,1573076923
AC;0231L09;10446,1573076923
AC;0231L10;10446,1573076923
AC;0231L11;10446,1573076923
AC;0231L12;10446,1573076923
AC;0231L13;10446,1573076923
AC;0231L14;10446,1573076923
AC;0231L15;10446,1573076923
AC;0231L16;10446,1573076923
AC;0231L17;10446,1573076923
AC;0231L18;10446,1573076923
AC;0231L19;10446,1573076923
AC;0231L20;10446,1573076923
AC;0231L21;10446,1573076923
AC;0288P01;2195,072
AC;0311E01;8072,45097560976
AC;0313P01;4602,72555555556
AC;0321C01;8240,485
AC;0321J01;8240,485
AC;0321P01;8240,485
AC;0321R01;8240,485
AC;0322A01;8084,77875
AC;0322B01;6251,50692307692
AC;0322G01;4632,01076923077
AC;0388P01;8240,485
AC;0411C01;4565,54741803279
AC;0411G01;4565,54741803279
AC;0412G01;8224,79166912851
AC;0412S01;8224,79166912851
AC;0413A01;8137,87995283019
AC;0413A02;8137,87995283019
AC;0413C01;8137,87995283019
AC;0413E01;8137,87995283019
AC;0413G01;8137,87995283019
AC;0413G02;8137,87995283019
AC;0413G03;8137,87995283019
AC;0413G04;8137,87995283019
AC;0413G05;8137,87995283019
AC;0413G06;8137,87995283019
AC;0413G07;8137,87995283019
AC;0413G08;8137,87995283019
AC;0413G09;8137,87995283019
AC;0413G10;8137,87995283019
AC;0413G11;8137,87995283019
AC;0413G12;8137,87995283019
AC;0413L01;8137,87995283019
AC;0414M01;8137,87995283019
AC;0414P01;6278,2975
AC;0414R01;6278,2975
AC;0415S01;2556,89277777778
AC;0416G01;12424,9625
AC;0416N01;12424,9625
AC;0421D01;6505,48811764706
AC;0488P01;8137,87995283019
AC;0511B01;7616,06534883721
AC;0521C01;7764,24333333333
AC;0521E01;7764,24333333333
AC;0531Q01;6573,96888888889
AC;0532G02;11308,8308695652
AC;0532G03;11308,8308695652
AC;0533A01;7671,94
AC;0533F01;7671,94
AC;0533F02;7671,94
AC;0533F03;7671,94
AC;0542E01;6354,6
AC;0588P01;7764,24333333333
AC;0612B01;1371,33333333333
AC;0612D01;4279,775
AC;0612R01;3174,75
AC;0614C01;9350
AC;0614I01;9350
AC;0615S02;3576,06481481482
AC;0615S03;8741,8548
AC;0616E01;9350
AC;0616I01;9350
AC;0616S01;9350
AC;0688P01;9350
AC;0711B01;8503,97428571429
AC;0711E01;8503,97428571429
AC;0711E02;8503,97428571429
AC;0711E03;8503,97428571429
AC;0711E04;8503,97428571429
AC;0711E05;8503,97428571429
AC;0712E01;6565,14615384615
AC;0712E02;6565,14615384615
AC;0712G01;6565,14615384615
AC;0712G02;6565,14615384615
AC;0712S01;6565,14615384615
AC;0713E01;10537,2948571429
AC;0713E02;10537,2948571429
AC;0713E03;10537,2948571429
AC;0713E04;10537,2948571429
AC;0713E05;10537,2948571429
AC;0713E06;10537,2948571429
AC;0713R01;10537,2948571429
AC;0713S01;10537,2948571429
AC;0715E01;7640,62666666667
AC;0715E02;7640,62666666667
AC;0715E03;7640,62666666667
AC;0715F01;7640,62666666667
AC;0715M01;7640,62666666667
AC;0715M02;7640,62666666667
AC;0715P01;7640,62666666667
AC;0715S01;7640,62666666667
AC;0716E03;5949,75
AC;0716M01;3824,65181818182
AC;0716S01;5949,75
AC;0716S02;5949,75
AC;0721E01;8743,43333333333
AC;0722C01;3161,52606060606
AC;0725E01;6520,7
AC;0725E02;6520,7
AC;0725E03;6520,7
AC;0725P01;6520,7
AC;0725P02;6520,7
AC;0731A01;10137,42
AC;0731A02;10137,42
AC;0731E01;10137,42
AC;0731E02;10137,42
AC;0731E03;10137,42
AC;0732C01;9063,37941489362
AC;0732C02;9063,37941489362
AC;0732E01;9063,37941489362
AC;0732E02;9063,37941489362
AC;0732E03;9063,37941489362
AC;0732E04;9063,37941489362
AC;0732E05;9063,37941489362
AC;0732G01;9063,37941489362
AC;0732M01;9063,37941489362
AC;0788P01;9063,37941489362
AC;0811A01;10288,3663013699
AC;0811A02;10288,3663013699
AC;0811A03;10288,3663013699
AC;0811A04;10288,3663013699
AC;0811A05;10288,3663013699
AC;0811C01;10288,3663013699
AC;0811E01;10288,3663013699
AC;0811E02;10288,3663013699
AC;0811F01;10288,3663013699
AC;0811I01;10288,3663013699
AC;0811M01;10288,3663013699
AC;0811V01;10288,3663013699
AC;0811Z01;10288,3663013699
AC;0812H01;10288,3663013699
AC;0821E01;8269,64195652174
AC;0821S01;8269,64195652174
AC;0831A01;8154,71333333333
AC;0831E01;8154,71333333333
AC;0831P01;8154,71333333333
AC;0841M01;9689,56890243903
AC;0888P01;10288,3663013699
AC;0911O01;1450
AC;0912M01;18092,5392307692
AC;0913E01;5939,73675245098
AC;0914A01;5692,6556372549
AC;0914O01;14430,9385714286
AC;0914O02;1854,195
AC;0914P01;1488,3325
AC;0914R01;3190
AC;0915E01;1148,65
AC;0915F01;5416,10087649402
AC;0915F02;5052,5575
AC;0915N01;4693,77985185185
AC;0915T01;4920,73
AC;0916F01;1658,71733333333
AC;0917P01;4648,45888888889
AC;0988P01;18092,5392307692
AC;1011E01;16497,78
AC;1012E01;1436,0912
AC;1014F01;2794,19681818182
AC;1014G01;2794,19681818182
AC;1022S01;8428,30142857143
AC;1031C01;10381,1888235294
AC;1032I01;18919,154375
AC;1032S01;3169,37917647059
AC;1032S02;3560,44771084337
AC;1032S03;3560,44771084337
AC;1041C01;1348,75125
AC;1041T02;1981,89
AC;1088P01;1981,89
