Estado,COD_CINE_ROTULO,Média de Salário UF
RO,0011A08,"7272,69020568473"
RO,0011A02,"1457,03349292253"
RO,0011A05,"4576,44707491213"
RO,0011A03,"4033,20380715562"
RO,0011A06,"3434,56255045162"
RO,0011A01,"7454,20112304553"
RO,0011A07,"10911,5577674993"
RO,0011A04,"8722,90670011808"
RO,0011A09,"5028,00248028302"
RO,0011A10,"5457,75989050298"
RO,0413A01,"5235,01281050402"
RO,0413A02,"3369,03148843385"
RO,0716A01,
RO,0731A01,"5942,0332565589"
RO,0617A01,"1872,5896736599"
RO,0811A01,"7884,96617728612"
RO,0811A03,"7725,3558265987"
RO,0811A04,"9288,86749402251"
RO,0811A05,"7884,96617728612"
RO,0721A01,"10824,3234835015"
RO,0914A01,"3496,57325240644"
RO,0312A01,"2275,14084975933"
RO,0831A01,"8822,56052593071"
RO,0222A01,
RO,0731A02,"6120,59239018781"
RO,0322A01,"2273,6016866195"
RO,0213A01,"7779,5409259688"
RO,0215A01,"1457,03349292253"
RO,0114A01,"7779,5409259688"
RO,0213A02,"3703,31809719011"
RO,0213A03,"7245,54918144078"
RO,0114A02,"11883,3431612864"
RO,0921A01,"2683,84573154219"
RO,0533A01,"6900,10844543015"
RO,0714A01,"13232,0208133932"
RO,0612B01,"5149,63719711289"
RO,0322B01,"8913,02944780545"
RO,0711B01,"14101,0078291084"
RO,0511B01,"8552,06043934411"
RO,0114B01,"11103,7998780331"
RO,0914B01,"3284,53767179576"
RO,0512B01,"9990,25049288909"
RO,0512B02,"7612,60710963922"
RO,0811C01,"9288,86749402251"
RO,0722C01,
RO,0614C01,"4705,99901592927"
RO,0111C01,"5951,53939546678"
RO,0617C01,"1872,5896736599"
RO,0312C01,"20263,5705553795"
RO,1041C01,"7873,30818832531"
RO,0114C01,"20623,0707008556"
RO,0521C01,"6500,79130310169"
RO,0542C01,"1359,47766894357"
RO,0221C01,
RO,0722C02,
RO,1031C01,"7529,11206414176"
RO,0114C02,"4576,44707491213"
RO,0312C02,
RO,0114C03,
RO,0211C01,"2177,88689495305"
RO,0114C04,"6368,7210684639"
RO,0413C01,"4118,96734997588"
RO,0617C02,"1872,5896736599"
RO,0114C05,"10707,7804279238"
RO,0211C02,"3581,80187100492"
RO,0321C01,"4516,5841304023"
RO,0222C01,
RO,0732C01,"7698,14957503063"
RO,0716C01,"1646,09812550009"
RO,0411C01,"12014,5361898869"
RO,0411G01,"16179,8879365721"
RO,0732C02,"3621,93907878439"
