CODIGO_MANTENEDORA,RAZAO_SOCIAL,CNPJ,NATUREZA_JURIDICA,CODIGO_IES,NOME_INSTITUICAO,SIGLA,TELEFONE,SITE,EMAIL,ENDERECO,MUNICIPIO,UF,ORGANIZACAO_ACADEMICA,TIPO_CREDENCIAMENTO,CATEGORIA,CATEGORIA_ADMINISTRATIVA,DATA_CRIACAO,CI,ANO_CI,CI_EAD,ANO_CI_EAD,IGC,ANO_IGC,REITOR,REPRESENTANTE_LEGAL,SINALIZACOES,SITUACAO
18344,COMANDO DA AERONAUTICA,00.394.429/0111-45,Pessoa Jurídica de Direito Público - Federal,26777,ACADEMIA DA FORÇA AÉREA (AFA),AFA,,https://www2.fab.mil.br/afa/,dpl.direns@gmail.com,,,,Faculdade,Presencial - Superior,Publica,Pública Federal,1941-03-25,-,,-,,-,,,,,Ativa
18177,CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS,03.389.126/0001-98,Pessoa Jurídica de Direito Público - Estadual,26238,ACADEMIA DE BOMBEIROS MILITAR (ABM),ABM,3133119179,,abm.ste@bombeiros.mg.gov.br,,,,Faculdade,Presencial - Superior,Publica,Pública Estadual,2012-12-12,-,,-,,-,,,,,Ativa
17963,POLICIA MILITAR DO ESTADO DE MINAS GERAIS,16.695.025/0001-97,Pessoa Jurídica de Direito Público - Estadual,25613,ACADEMIA DE POLÍCIA MILITAR DE MINAS GERAIS (APM),APM,(31) 2123-9484,https://www.policiamilitar.mg.gov.br/portal-pm/apm/principal.action,divisaodeensino.apm@pmmg.mg.gov.br,Rua Diabase - 320 - CEP: 30411-060 - Prado,Belo Horizonte,MG,Faculdade,Presencial - Superior,Publica,Pública Estadual,2005-11-29,-,,-,,-,,,,,Ativa
17403,ESPIRITO SANTO SECRETARIA DE EST DE SEGURANCA PUBLICA,27.476.373/0001-90,Pessoa Jurídica de Direito Público - Estadual,24465,ACADEMIA DE POLÍCIA MILITAR DO ESPÍRITO SANTO (APM/ES),APM/ES,3636-2950,pm.es.gov.br,,,,,Faculdade,Presencial - Superior,Publica,Pública Estadual,2016-11-10,-,,-,,-,,,,,Ativa
409,COMANDO DO EXERCITO,00.394.452/0001-03,Pessoa Jurídica de Direito Público - Federal,21095,Academia Militar das Agulhas Negras (AMAN),AMAN,2433884500,http://www.aman.ensino.eb.br/,rp@aman.ensino.eb.br,Rodovia Presidente Dutra - km 306 - CEP: 27534-900 - Cabral,Resende,RJ,Centro Universitário,Presencial - Superior,Publica,Pública Federal,2000-12-14,-,,-,,-,,,,,Ativa
31,FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS,17.319.831/0001-23,Pessoa Jurídica de Direito Público - Estadual,31,CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG (UTRAMIG),UTRAMIG,,www.utramig.mg.gov.br,cet.utramig@yahoo.com.br,Avenida Afonso Pena - 3400 - CEP: 30130-009 - CRUZEIRO,Belo Horizonte,MG,Faculdade,Presencial - Superior,Publica,Pública Estadual,1973-04-24,-,,-,,-,,,,,Ativa
17401,FIEC FUNDACAO INDAIATUBANA DE EDUCACAO E CULTURA,54.675.103/0001-80,Pessoa Jurídica de Direito Público - Municipal,24462,CENTRO DE EDUCAÇÃO TECNOLÓGICO DA FUNDAÇÃO INDAIATUBANA DE EDUCAÇÃO E CULTURA (FIEC),FIEC,19 3801-8688,www.fiec.com.br,academica@fiec.com.br,Avenida Engenheiro Fábio Roberto Barnabé - - CEP: 13349-003 - Jardim Regina,Indaiatuba,SP,Faculdade,Presencial - Superior,Publica,Pública Municipal,2015-06-04,-,,-,,-,,,,,Ativa
409,COMANDO DO EXERCITO,00.394.452/0001-03,Pessoa Jurídica de Direito Público - Federal,21416,Centro de Instrução de Aviação do Exército (CIAvEx),CIAvEx,(12)21237750,www.ciavex.ensino.eb.br,ciavex.srp.ch@avex.eb.mil.br,Complexo de Aviação do Exército - CAVEX - 2.135 - CEP: 12086-900 - Granjas Rurais Reunidas São Judas Tadeu,Taubaté,SP,Faculdade,Presencial - Superior,Publica,Pública Federal,2000-11-14,-,,-,,-,,,,,Ativa
16655,CENTRO FED DE ED TECNOLOGICA CELSO SUCKOW DA FONSECA RJ,42.441.758/0001-05,Pessoa Jurídica de Direito Público - Federal,593,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA (CEFET/RJ),CEFET/RJ,(21) 2568 8890,www.cefet-rj.br,direg@cefet-rj.br,Avenida Maracanã - 229 - CEP: 20271-110 - Maracanã,Rio de Janeiro,RJ,Centro Federal de Educação Tecnológica,EAD - Superior / Presencial - Superior,Publica,Pública Federal,1978-07-04,5,2023,-,,4,2021,,,,Ativa
16596,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS,17.220.203/0001-96,Pessoa Jurídica de Direito Público - Federal,594,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS (CEFET/MG),CEFET/MG,(31) 3319 7006,www.cefetmg.br,gabinete@cefetmg.br; cavg@cefetmg.br; annapereira@cefetmg.br; dirgrad@cefetmg.br,Avenida Amazonas - 5253 - CEP: 30480-000 - Nova Suiça,Belo Horizonte,MG,Centro Federal de Educação Tecnológica,Presencial - Superior,Publica,Pública Federal,1978-07-04,5,2020,-,,4,2021,,,,Ativa
