Cód. IBGE,Município,Latitude,Longitude,Microrregião,Mesorregião,Sigla UF,UF,Região,Sigla Região
2901304,Andaraí,"-12,8","-41,33",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2923407,Palmas de Monte Alto,"-14,26","-43,16",Guanambi,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2923506,Palmeiras,"-12,52","-41,55",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2923605,Paramirim,"-13,44","-42,23",Livramento do Brumado,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2900108,Abaíra,"-13,25","-41,66",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2900603,Aiquara,"-14,12","-39,88",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2901007,Amargosa,"-13,02","-39,6",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2901205,Anagé,"-14,61","-41,13",Vitória da Conquista,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2901957,Apuarema,"-13,85","-39,74",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2902005,Aracatu,"-14,42","-41,46",Brumado,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2902807,Barra da Estiva,"-13,62","-41,32",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2902906,Barra do Choça,"-14,88","-40,57",Vitória da Conquista,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2903508,Belo Campo,"-15,03","-41,25",Vitória da Conquista,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2903706,Boa Nova,"-14,36","-40,2",Vitória da Conquista,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2929909,Seabra,"-12,41","-41,77",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2930006,Sebastião Laranjeiras,"-14,57","-42,93",Guanambi,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2904001,Boninal,"-12,7","-41,82",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2904050,Bonito,"-11,96","-41,26",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2904100,Boquira,"-12,82","-42,73",Boquira,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2904209,Botuporã,"-13,38","-42,52",Boquira,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2904308,Brejões,"-13,1","-39,79",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2904506,Brotas de Macaúbas,"-11,99","-42,62",Boquira,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2904605,Brumado,"-14,2","-41,66",Brumado,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2924306,Piatã,"-13,15","-41,77",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2924504,Pindaí,"-14,49","-42,68",Guanambi,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2924702,Piripá,"-14,93","-41,72",Brumado,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2924900,Planaltino,"-13,25","-40,36",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2925006,Planalto,"-14,67","-40,47",Vitória da Conquista,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2925105,Poções,"-14,52","-40,36",Vitória da Conquista,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2925402,Potiraguá,"-15,59","-39,87",Itapetinga,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2925709,Presidente Jânio Quadros,"-14,68","-41,67",Brumado,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2926400,Riacho de Santana,"-13,6","-42,93",Guanambi,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2926657,Ribeirão do Largo,"-15,45","-40,73",Itapetinga,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2926707,Rio de Contas,"-13,57","-41,81",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2926806,Rio do Antônio,"-14,41","-42,07",Brumado,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2926905,Rio do Pires,"-13,12","-42,29",Livramento do Brumado,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2927903,Santa Inês,"-13,29","-39,81",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2929404,São Miguel das Matas,"-13,04","-39,45",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2917334,Iuiu,"-14,41","-43,55",Guanambi,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2917409,Jacaraci,"-14,85","-42,43",Guanambi,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2917607,Jaguaquara,"-13,53","-39,97",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2918001,Jequié,"-13,85","-40,08",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2918209,Jiquiriçá,"-13,25","-39,57",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2918308,Jitaúna,"-14,01","-39,88",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2931004,Tanhaçu,"-14,02","-41,24",Brumado,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2931053,Tanque Novo,"-13,54","-42,49",Boquira,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2931806,Tremedal,"-14,97","-41,41",Brumado,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2932101,Ubaíra,"-13,26","-39,66",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2932606,Urandi,"-14,77","-42,65",Guanambi,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2932804,Utinga,"-12,08","-41,09",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2933307,Vitória da Conquista,"-14,86","-40,83",Vitória da Conquista,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2933406,Wagner,"-12,28","-41,16",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2918605,Jussiape,"-13,51","-41,59",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2918704,Lafaiete Coutinho,"-13,65","-40,21",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2918803,Laje,"-13,18","-39,42",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2919058,Lajedo do Tabocal,"-13,47","-40,22",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2919306,Lençóis,"-12,56","-41,38",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2919405,Licínio de Almeida,"-14,68","-42,5",Guanambi,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2919504,Livramento de Nossa Senhora,"-13,64","-41,84",Livramento do Brumado,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2919702,Macarani,"-15,56","-40,42",Itapetinga,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2919801,Macaúbas,"-13,01","-42,69",Boquira,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2919959,Maetinga,"-14,66","-41,49",Brumado,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2920007,Maiquinique,"-15,62","-40,26",Itapetinga,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2920205,Malhada,"-14,33","-43,77",Guanambi,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2920304,Malhada de Pedras,"-14,38","-41,87",Brumado,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2920403,Manoel Vitorino,"-14,14","-40,24",Vitória da Conquista,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2920809,Marcionílio Souza,-13,"-40,53",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2921054,Matina,"-13,9","-42,84",Guanambi,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2921302,Milagres,"-12,86","-39,85",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2921807,Mortugaba,"-15,02","-42,36",Guanambi,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2921906,Mucugê,-13,"-41,37",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2922409,Mutuípe,"-13,22","-39,5",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2922706,Nova Canaã,"-14,79","-40,14",Vitória da Conquista,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2922805,Nova Itarana,"-13,02","-40,06",Jequié,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2922854,Nova Redenção,"-12,81","-41,07",Seabra,Centro Sul Baiano,BA,Bahia,Nordeste,NE
2923035,Novo Horizonte,"-12,8","-42,16",Boquira,Centro Sul Baiano,BA,Bahia,Nordeste,NE
